ID,English,Chinese_Simplified,French,German,Italian,Polish,Portuguese_Brazil,Russian,Spanish
Threatened_1,It's attacking us!,,Ça nous attaque !,Wir werden angegriffen!,우릴 친다!,Jesteśmy atakowani!,Estão nos atacando!,Оно нападает на нас!,¡Nos ataca!
Threatened_2,Uh-oh.,,Oh-ho...,Uh-oh!,어 이런…,Niech to!,Eita.,Ой-ой.,"Oh, oh."
Threatened_3,Oh no!,,"Oh, non !",Oh nein!,안돼!,O nie!,Nãão!,О нет!,"¡Oh, no!"
Threatened_4,"Everyone, brace yourselves!",,Accrochez-vous !,"Leute, macht euch bereit!",모두 꽉 잡아!,Chwyćcie się czegoś!,"Todo mundo, aguenta firme!",Что же сейчас будет?!,¡Preparaos!
Threatened_5,Get away from the windows!,,Éloignez-vous des fenêtres !,Weg von den Fenstern!,창문으로부터 떨어져!,Odejdźcie od okien!,Se afastem das janelas!,Все прочь от окон!,¡Alejaos de las ventanas!
Threatened_6,What's that shadow?,,"C'est quoi, cette ombre ?",Was ist das für ein Schatten?,이 그림자는 뭐지?,Co to za cień?,Que vulto é aquele?,Что это за тень?,¿Qué es esa sombra?
Threatened_7,This looks bad...,,Ça va mal...,Das sieht übel aus ...,이거 예감이 안 좋은데…,To nie wygląda najlepiej...,Isso vai dar ruim...,Плохи наши дела...,Esto pinta mal...
Threatened_8,Help!,,À l'aide !,Hilfe!,도와줘!,Pomocy!,Ajuda!,На помощь!,¡Socorro!
Threatened_9,We're doomed!,,Nous sommes perdus !,Wir sind am Ende!,망했어!,Jesteśmy zgubieni!,A gente já era!,Мы обречены!,¡Esto es el fin!
Threatened_10,Our luck's run out...,,La chance nous a abandonnés...,Unser Glück hat uns verlassen ...,행운은 여기까지인가…,Szczęście nic tu nie pomoże...,Que azar o nosso...,Вот нам и конец...,Se nos ha acabado la suerte...
Threatened_11,It's targeting us!,,Ça nous prend pour cibles !,Wir werden angegriffen!,우릴 노리고 있어!,To coś w nas celuje!,Vieram atrás da gente!,Оно наводится на нас!,¡Va a atacarnos!
Threatened_12,"Help! Anyone, help!",,"À l'aide, quelqu'un !",Hilfe! Zu Hilfe!,도와주세요! 살려줘!,Niech ktoś nam pomoże!,Ajuda! Alguém ajuda!,Люди! На помощь!,¡Socorro! ¡Que alguien nos ayude!
Threatened_13,"Help us, #squad!",,"À l'aide, #squad !","Helft uns, #squad!","구해줘, #squad!","#squad, pomóżcie nam!","Defendam-nos, #squad!","#squad, спасайте нас!","¡Ayudadnos, #squad!"
Threatened_14,"#squad, help!",,#squad ! À l'aide !,"#squad, helft uns!","#squad, 살려줘!","#squad, pomocy!","#squad, socorro!","#squad, на помощь!","¡Socorro, #squad!"
Threatened_15,We're done for.,,On est fichus.,Wir sind erledigt.,우린 망했어.,Już po nas.,É o nosso fim.,Нам крышка.,Estamos acabados.
